Id,Date,Latency,Download,Upload,ConnType,ServerName,Lat,Lon,InternalIp,ExternalIp
SAMPLE_ID,Jun/14/2022 21:32,6.511,11.5609,38.41978,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 21:19,3.846,10.46696,34.04205,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 21:17,8.222,4.731872,26.15283,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 21:16,3.167,13.19067,29.96042,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 21:13,4.09,12.31948,33.57015,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 21:12,3.093,12.46289,26.99566,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 18:37,7.661,8.338984,29.36803,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/14/2022 17:45,3.298,13.02062,37.82542,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/13/2022 20:33,5.389,16.99356,36.30636,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
SAMPLE_ID,Jun/13/2022 20:32,3.939,15.72968,28.53792,Wifi,SAMPLE,SAMPLE_LAT,SAMPLE_LONG,SAMPLE_INT_IP,SAMPLE_EXT_IP
